episode_idx	episode_id	scene	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	baseline_distance_to_start	vlm_port	start_time	end_time	exit_code	result_suffix	vlm_log	eval_log	measurement_file	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal	trajectory_record_count
4	8	x8F5xyUWy9e	354	583	5	0.000	10.151123046875	54325	2026-07-03T10:47:52+01:00	2026-07-03T10:51:36+01:00	0	fused_capture_snapshots_hard11_20260703_ep4	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_hard11_20260703/ep4_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_hard11_20260703/ep4_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_fused_capture_snapshots_hard11_20260703_ep4/measurements/7.json	True	True	True	0.8331144452095032	1.4064375162124634	2902
5	9	x8F5xyUWy9e	354	583	5	0.000	8.5977783203125	54326	2026-07-03T10:51:36+01:00	2026-07-03T11:00:34+01:00	0	fused_capture_snapshots_hard11_20260703_ep5	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_hard11_20260703/ep5_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_hard11_20260703/ep5_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_fused_capture_snapshots_hard11_20260703_ep5/measurements/8.json	True	False	False	9.556408882141113	0.2864091396331787	6777
134	195	2azQ1b91cZZ	756	1288	7	0.258	6.222945690155029	54455	2026-07-03T11:00:34+01:00	2026-07-03T11:03:02+01:00	0	fused_capture_snapshots_hard11_20260703_ep134	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_hard11_20260703/ep134_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_hard11_20260703/ep134_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_fused_capture_snapshots_hard11_20260703_ep134/measurements/194.json	False	False	False	2.604630708694458	None	2502
187	281	EU6Fwq7SyZv	447	754	6	0.433	11.8126859664917	54508	2026-07-03T11:03:02+01:00	2026-07-03T11:06:00+01:00	0	fused_capture_snapshots_hard11_20260703_ep187	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_hard11_20260703/ep187_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_hard11_20260703/ep187_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_fused_capture_snapshots_hard11_20260703_ep187/measurements/280.json	False	False	False	10.442826271057129	None	2502
367	602	X7HyMhZNoso	1038	1759	7	0.000	5.792527675628662	54688	2026-07-03T11:06:00+01:00	2026-07-03T11:10:06+01:00	0	fused_capture_snapshots_hard11_20260703_ep367	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_hard11_20260703/ep367_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_hard11_20260703/ep367_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_fused_capture_snapshots_hard11_20260703_ep367/measurements/601.json	True	True	True	1.8291382789611816	1.0334663391113281	3277
368	603	X7HyMhZNoso	1038	1759	7	0.000	6.825916290283203	54689	2026-07-03T11:10:06+01:00	2026-07-03T11:14:27+01:00	0	fused_capture_snapshots_hard11_20260703_ep368	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_hard11_20260703/ep368_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_hard11_20260703/ep368_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_fused_capture_snapshots_hard11_20260703_ep368/measurements/602.json	True	True	True	1.9787189960479736	0.4512883126735687	3502
408	682	oLBMNvg9in8	522	907	4	0.761	6.883718967437744	54729	2026-07-03T11:14:27+01:00	2026-07-03T11:18:14+01:00	0	fused_capture_snapshots_hard11_20260703_ep408	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_hard11_20260703/ep408_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_hard11_20260703/ep408_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_fused_capture_snapshots_hard11_20260703_ep408/measurements/681.json	True	True	True	2.6427485942840576	0.317207008600235	2852
678	1165	zsNo4HB9uLZ	612	1069	7	0.000	3.781534194946289	54999	2026-07-03T11:18:14+01:00	2026-07-03T11:23:53+01:00	0	fused_capture_snapshots_hard11_20260703_ep678	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_hard11_20260703/ep678_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_hard11_20260703/ep678_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_fused_capture_snapshots_hard11_20260703_ep678/measurements/1164.json	True	True	True	1.162382960319519	0.24814343452453613	4252
680	1167	zsNo4HB9uLZ	612	1069	7	0.000	3.7099010944366455	55001	2026-07-03T11:23:53+01:00	2026-07-03T11:30:09+01:00	0	fused_capture_snapshots_hard11_20260703_ep680	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_hard11_20260703/ep680_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_hard11_20260703/ep680_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_fused_capture_snapshots_hard11_20260703_ep680/measurements/1166.json	True	True	True	1.780685305595398	1.760469913482666	4677
994	1700	QUCTc6BB5sX	105	151	7	0.000	4.521794319152832	55315	2026-07-03T11:30:09+01:00	2026-07-03T11:35:34+01:00	0	fused_capture_snapshots_hard11_20260703_ep994	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_hard11_20260703/ep994_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_hard11_20260703/ep994_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_fused_capture_snapshots_hard11_20260703_ep994/measurements/1699.json	True	True	True	1.0829044580459595	1.0399466753005981	4177
