episode_idx	episode_id	scene	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	baseline_distance_to_start	vlm_port	start_time	end_time	exit_code	result_suffix	vlm_log	eval_log	measurement_file	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal	trajectory_record_count
4	8	x8F5xyUWy9e	354	583	5	0.000	10.151123046875	54325	2026-07-03T12:20:13+01:00	2026-07-03T12:23:57+01:00	0	fused_capture_snapshots_fixed_hard11_20260703_ep4	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_fixed_hard11_20260703/ep4_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_fixed_hard11_20260703/ep4_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_fused_capture_snapshots_fixed_hard11_20260703_ep4/measurements/7.json	True	True	True	0.8215489983558655	1.532191276550293	2877
5	9	x8F5xyUWy9e	354	583	5	0.000	8.5977783203125	54326	2026-07-03T12:23:57+01:00	2026-07-03T12:32:53+01:00	0	fused_capture_snapshots_fixed_hard11_20260703_ep5	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_fixed_hard11_20260703/ep5_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_fixed_hard11_20260703/ep5_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_fused_capture_snapshots_fixed_hard11_20260703_ep5/measurements/8.json	True	False	False	9.556408882141113	0.2864091396331787	6777
134	195	2azQ1b91cZZ	756	1288	7	0.258	6.222945690155029	54455	2026-07-03T12:32:53+01:00	2026-07-03T12:37:44+01:00	0	fused_capture_snapshots_fixed_hard11_20260703_ep134	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_fixed_hard11_20260703/ep134_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_fixed_hard11_20260703/ep134_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_fused_capture_snapshots_fixed_hard11_20260703_ep134/measurements/194.json	True	True	True	0.06257235258817673	0.23206593096256256	3952
187	281	EU6Fwq7SyZv	447	754	6	0.433	11.8126859664917	54508	2026-07-03T12:37:44+01:00	2026-07-03T12:45:08+01:00	0	fused_capture_snapshots_fixed_hard11_20260703_ep187	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_fixed_hard11_20260703/ep187_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_fixed_hard11_20260703/ep187_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_fused_capture_snapshots_fixed_hard11_20260703_ep187/measurements/280.json	True	True	True	2.223855495452881	1.1872113943099976	5027
367	602	X7HyMhZNoso	1038	1759	7	0.000	5.792527675628662	54688	2026-07-03T12:45:08+01:00	2026-07-03T12:49:28+01:00	0	fused_capture_snapshots_fixed_hard11_20260703_ep367	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_fixed_hard11_20260703/ep367_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_fixed_hard11_20260703/ep367_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_fused_capture_snapshots_fixed_hard11_20260703_ep367/measurements/601.json	True	True	True	1.2560957670211792	1.0334663391113281	3402
368	603	X7HyMhZNoso	1038	1759	7	0.000	6.825916290283203	54689	2026-07-03T12:49:29+01:00	2026-07-03T12:53:57+01:00	0	fused_capture_snapshots_fixed_hard11_20260703_ep368	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_fixed_hard11_20260703/ep368_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_fixed_hard11_20260703/ep368_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_fused_capture_snapshots_fixed_hard11_20260703_ep368/measurements/602.json	True	True	True	1.4613518714904785	0.656193733215332	3602
408	682	oLBMNvg9in8	522	907	4	0.761	6.883718967437744	54729	2026-07-03T12:53:57+01:00	2026-07-03T12:56:05+01:00	0	fused_capture_snapshots_fixed_hard11_20260703_ep408	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_fixed_hard11_20260703/ep408_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_fixed_hard11_20260703/ep408_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_fused_capture_snapshots_fixed_hard11_20260703_ep408/measurements/681.json	False	False	False	2.125422239303589	None	1666
678	1165	zsNo4HB9uLZ	612	1069	7	0.000	3.781534194946289	54999	2026-07-03T12:56:05+01:00	2026-07-03T12:58:35+01:00	0	fused_capture_snapshots_fixed_hard11_20260703_ep678	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_fixed_hard11_20260703/ep678_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_fixed_hard11_20260703/ep678_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_fused_capture_snapshots_fixed_hard11_20260703_ep678/measurements/1164.json	False	False	False	6.065356731414795	None	2502
680	1167	zsNo4HB9uLZ	612	1069	7	0.000	3.7099010944366455	55001	2026-07-03T12:58:35+01:00	2026-07-03T13:04:16+01:00	0	fused_capture_snapshots_fixed_hard11_20260703_ep680	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_fixed_hard11_20260703/ep680_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_fixed_hard11_20260703/ep680_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_fused_capture_snapshots_fixed_hard11_20260703_ep680/measurements/1166.json	True	True	True	1.1247938871383667	0.3795335590839386	4352
994	1700	QUCTc6BB5sX	105	151	7	0.000	4.521794319152832	55315	2026-07-03T13:04:16+01:00	2026-07-03T13:10:09+01:00	0	fused_capture_snapshots_fixed_hard11_20260703_ep994	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_fixed_hard11_20260703/ep994_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/fused_capture_snapshots_fixed_hard11_20260703/ep994_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_fused_capture_snapshots_fixed_hard11_20260703_ep994/measurements/1699.json	True	True	True	0.871725857257843	0.8102121949195862	4452
